track_id;track_name;artist_id;artist_name;album_id;duration;release_date;popularity;danceability;energy;key;loudness;mode;speechiness;acousticness;instrumentalness;liveness;valence;tempo;playlist_id;playlist_name;popularity_rate;PITCH
0mYRYhpluzXRihgrbTPFCL;Final Hours;27HBzx6Ox43GPbWLECgbFW;Ten Foot Pole;35HsYF5vTiqPGkcYRiwu0c;215293;1994;0;232;948;11;-6.22;1;0.0799;0.000636;0.0736;204;752;195.779;5Z6HJD7JSrSw4pGWsyxdqw;PUNK ROCK;low;0
1Pb2r16u6zuJenq6uGDJte;Gone;1D20Qqq2BnfaShwNDb00KU;Pulley;78HFWMFJB3UtjzeqN4I10d;142466;2000;0;281;967;10;-5.349;1;129;0.000117;0.000364;0.0683;0.75;148.535;5Z6HJD7JSrSw4pGWsyxdqw;PUNK ROCK;low;0
1nKau7OoPp3Uq5Gwk2hgez;7 Years;2kt86cBbpzBvfmBp4vk9Hj;Undeclinable;2BpiPXNKiguctDPCIqjYkF;186600;1998;0;392;0.98;1;-7.888;0;0.0895;0.000528;0.0000157;394;0.15;110.909;5Z6HJD7JSrSw4pGWsyxdqw;PUNK ROCK;low;0
4LXHPE3oAcpW1WPzYgxO7Q;Wind in our Sales;2kt86cBbpzBvfmBp4vk9Hj;Undeclinable;37a0ntYrxZAFuYKnFAyctF;159600;2001;0;318;853;0;-4.193;1;0.0626;0.0000829;1.03E-6;685;474;104.175;5Z6HJD7JSrSw4pGWsyxdqw;PUNK ROCK;low;0
45Wq6imC1XvE4kFP8pDgiQ;No More Waiting;7oH5iMeAujna1ezppMWb7C;Cigar;6Kg3ZKbBKjfAv7NCuPIMKW;123693;1999-04-23;0;526;982;11;-4.424;0;152;0.00118;0;161;799;107.109;5Z6HJD7JSrSw4pGWsyxdqw;PUNK ROCK;low;0
4eOf16BAGr9bQvHYI7e4KG;Discontent Industry;285n9vs2U1CpXWZDagpTyC;Rentokill;0td9lLfFlkP5WPxIvlPeyt;131893;2007-06-18;6;329;959;8;-3.787;0;214;0.00274;0;333;414;112.071;5Z6HJD7JSrSw4pGWsyxdqw;PUNK ROCK;low;0
4fRDgjvtrlVofOH2oflC9n;Architects;6Wr3hh341P84m3EI8qdn9O;Rise Against;1ueojQqs9eBYzStz2uM5Dr;222626;2011-01-01;0;186;981;10;-2.681;0;179;0.000802;0.0000144;335;359;182.449;5Z6HJD7JSrSw4pGWsyxdqw;PUNK ROCK;low;0
7jcu4l4uqQ3lcVHweGdE5r;The Political Aspect Of Unpolitical Thinking;285n9vs2U1CpXWZDagpTyC;Rentokill;0td9lLfFlkP5WPxIvlPeyt;146786;2007-06-18;5;315;981;7;-2.92;1;103;0.00889;0;199;714;93.454;5Z6HJD7JSrSw4pGWsyxdqw;PUNK ROCK;low;0
0cmkiiqbv26DIje5aOpnOa;Collection Complete!;285n9vs2U1CpXWZDagpTyC;Rentokill;0td9lLfFlkP5WPxIvlPeyt;185240;2007-06-18;4;336;978;2;-3.663;0;0.0766;0.00184;1.4E-6;161;546;123.4;5Z6HJD7JSrSw4pGWsyxdqw;PUNK ROCK;low;0
2DJ0oxM1iNoUMR7NqwVocT;Past Soul;2y22azifRUhOtF8Hx3DG83;Red Lights Flash;20duXQVKC4Qparbv97R7st;203880;2004;0;514;987;4;-2.457;1;0.0707;0.0000973;0.00318;285;545;112.051;5Z6HJD7JSrSw4pGWsyxdqw;PUNK ROCK;low;0
22klU94r0NFtx4cPO8KqHk;No Cigar;74xFFXkvOq9dPDigOWTHiX;Millencolin;6s6ieD2MMDUSvXgiQThLwy;163226;2000;0;383;986;9;-2.796;1;0.0617;0.000287;0;179;578;157.871;5Z6HJD7JSrSw4pGWsyxdqw;PUNK ROCK;low;0
7IMLn7dBjWiUzGXzk20EGb;Make It Stop (September's Children);6Wr3hh341P84m3EI8qdn9O;Rise Against;1ueojQqs9eBYzStz2uM5Dr;234786;2011-01-01;0;408;968;1;-3.123;1;81;0.000875;4.1E-6;124;556;154.479;5Z6HJD7JSrSw4pGWsyxdqw;PUNK ROCK;low;0
2o2ZuvjP9NlSJflVSgBytj;Disparity By Design;6Wr3hh341P84m3EI8qdn9O;Rise Against;1ueojQqs9eBYzStz2uM5Dr;228640;2011-01-01;0;445;978;5;-3.289;0;0.0849;0.00038;0;213;629;155.926;5Z6HJD7JSrSw4pGWsyxdqw;PUNK ROCK;low;0
2CDESYyb4I9sCiI2dAcoAy;Injection;6Wr3hh341P84m3EI8qdn9O;Rise Against;4bnL97GIgtX6UCybyDzRMJ;199213;2006-06-30;0;419;995;8;-2.984;0;0.0769;0.000277;0.000488;0.0931;482;105.636;5Z6HJD7JSrSw4pGWsyxdqw;PUNK ROCK;low;0
22UYkrZkx9yPM3j7nvWgXI;Black Masks & Gasoline;6Wr3hh341P84m3EI8qdn9O;Rise Against;176F9tM5rTVk6IRohyM0Cj;179600;2003-04-08;0;444;994;8;-2.839;0;111;0.000568;0.000691;0.0727;249;111.52;5Z6HJD7JSrSw4pGWsyxdqw;PUNK ROCK;low;0
4jjqJnI5zzXvSya3NspKBg;Alive and Well;6Wr3hh341P84m3EI8qdn9O;Rise Against;1ifZw7Hhx71MUPqXBfM9A9;126400;2001;0;0.49;993;5;-3.683;0;194;0.000122;685;352;388;106.788;5Z6HJD7JSrSw4pGWsyxdqw;PUNK ROCK;low;0
5L1db7eu2NC96Pg2QfxLew;Join The Ranks;6Wr3hh341P84m3EI8qdn9O;Rise Against;1ifZw7Hhx71MUPqXBfM9A9;86760;2001;0;351;985;8;-4.291;1;297;0.000888;0.000668;313;0.3;171.854;5Z6HJD7JSrSw4pGWsyxdqw;PUNK ROCK;low;0
41hijn3yT7BdQVogv3CXZI;All There Is;2yJwXpWAQOOl5XFzbCxLs9;Bad Religion;6I4bM7J2ID9KN5x1bmiJgW;177680;2004;0;481;993;10;-3.454;1;112;0.0013;0;186;306;160.229;5Z6HJD7JSrSw4pGWsyxdqw;PUNK ROCK;low;0
6yBgfZVqyd5xhRwhlhLV4T;Parallel;2yJwXpWAQOOl5XFzbCxLs9;Bad Religion;7wP5scVYVpCrs0R7SV29Vd;204800;1996;0;323;987;0;-4.535;0;108;0.000287;0;353;298;143.835;5Z6HJD7JSrSw4pGWsyxdqw;PUNK ROCK;low;0
6GPY1CBbOpnvUBRex7G8Ot;Them And Us;2yJwXpWAQOOl5XFzbCxLs9;Bad Religion;7wP5scVYVpCrs0R7SV29Vd;170573;1996;0;303;996;5;-4.711;1;0.0889;0.0000246;0.0016;356;369;157.148;5Z6HJD7JSrSw4pGWsyxdqw;PUNK ROCK;low;0
58F5HGqPbAkp52cDbIg3zd;The Gray Race;2yJwXpWAQOOl5XFzbCxLs9;Bad Religion;7wP5scVYVpCrs0R7SV29Vd;126426;1996;0;187;986;0;-4.753;1;126;2.9E-6;0.0244;89;299;156.285;5Z6HJD7JSrSw4pGWsyxdqw;PUNK ROCK;low;0
69NPt7CfskE98TQPCaIfe0;Drunk Sincerity;2yJwXpWAQOOl5XFzbCxLs9;Bad Religion;7wP5scVYVpCrs0R7SV29Vd;133066;1996;0;334;961;2;-5.591;1;105;0.0000928;0;0.0953;731;142.088;5Z6HJD7JSrSw4pGWsyxdqw;PUNK ROCK;low;0
0m93Rrq0x7eO16nBnxm3Mh;Come Join Us;2yJwXpWAQOOl5XFzbCxLs9;Bad Religion;7wP5scVYVpCrs0R7SV29Vd;123666;1996;0;476;976;4;-4.587;0;0.0573;0.000462;0.000101;245;709;110.55;5Z6HJD7JSrSw4pGWsyxdqw;PUNK ROCK;low;0
2Ink0dpPRMAln2gIsDJp0j;Better Off Dead;2yJwXpWAQOOl5XFzbCxLs9;Bad Religion;5SKn5YH5mWF0nvPTpLOmye;158906;1994-08-09;0;406;994;11;-7.878;1;69;0.00278;0.0000144;429;343;151.005;5Z6HJD7JSrSw4pGWsyxdqw;PUNK ROCK;low;0
6zrY2hHcd3oxXFCEA5Ef9F;(No More) Paddy's Lament;5kQGFREO5FzMBMsAO3cEtj;Flogging Molly;3AETateH1bmUMIXWrzwJo4;204680;2008-03-04;0;477;0.99;9;-3.558;1;0.0533;0.0309;0;136;786;151.929;5Z6HJD7JSrSw4pGWsyxdqw;PUNK ROCK;low;0
07sJ4xKLvWusl7pb90U9b3;This Suffering;08yf5A2nS4XEeNvabDXqyg;Billy Talent;0cTOvcvrbNiaiv4WXEUHzT;236960;2006-06-23;55;473;972;2;-3.138;0;0.0955;0.000223;0;0.0763;475;162.95;5Z6HJD7JSrSw4pGWsyxdqw;PUNK ROCK;mid-high;1
3cO8w5kGXDdwQywhiX0G8J;Last Night;5aYyPjAsLj7UzANzdupwnS;Good Charlotte;08utRHYjRSDcceEsjFRFX0;220826;2010-01-01;51;641;849;5;-3.176;1;0.0445;0.00159;0;0.0418;0.73;128.063;5Z6HJD7JSrSw4pGWsyxdqw;PUNK ROCK;mid-high;1
7khksFCzd2QheN68ZHa2SU;First Date;6FBDaR13swtiWwGhX1WQsP;blink-182;0SvLzQZVwLWoY7p7zUcvxs;171120;2005-01-01;0;574;917;0;-4.505;1;0.0483;0.000579;0;177;855;95.663;5Z6HJD7JSrSw4pGWsyxdqw;PUNK ROCK;low;0
